Id,TotalDays,NonActiveDays,ActiveDays
1503960366,31,1,30
1624580081,31,0,31
1644430081,30,0,30
1844505072,31,10,21
1927972279,31,14,17
2022484408,31,0,31
2026352035,31,0,31
2320127002,31,0,31
2347167796,18,0,18
2873212765,31,0,31
3372868164,20,0,20
3977333714,30,0,30
4020332650,31,14,17
4057192912,4,1,3
4319703577,31,0,31
4388161847,31,0,31
4445114986,31,0,31
4558609924,31,0,31
4702921684,31,1,30
5553957443,31,0,31
5577150313,30,2,28
6117666160,28,5,23
6290855005,29,5,24
6775888955,26,9,17
6962181067,31,0,31
7007744171,26,2,24
7086361926,31,1,30
8053475328,31,0,31
8253242879,19,1,18
8378563200,31,0,31
8583815059,31,1,30
8792009665,29,10,19
8877689391,31,0,31
