Id,Date,TotalSteps,TrackerDistance,FairlyActiveMinutes,VeryActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,TotalTimeInBed,TotalMinutesNotAsleep
1503960366,4/12/2016,13162,8.5,13,25,328,728,1985,327,346,19
1503960366,4/13/2016,10735,6.96999979019165,19,21,217,776,1797,384,407,23
1503960366,4/15/2016,9762,6.28000020980835,34,29,209,726,1745,412,442,30
1503960366,4/16/2016,12669,8.15999984741211,10,36,221,773,1863,340,367,27
1503960366,4/17/2016,9705,6.48000001907349,20,38,164,539,1728,700,712,12
1503960366,4/19/2016,15506,9.88000011444092,31,50,264,775,2035,304,320,16
1503960366,4/20/2016,10544,6.67999982833862,12,28,205,818,1786,360,377,17
1503960366,4/21/2016,9819,6.34000015258789,8,19,211,838,1775,325,364,39
1503960366,4/23/2016,14371,9.03999996185303,21,41,262,732,1949,361,384,23
1503960366,4/24/2016,10039,6.40999984741211,5,39,238,709,1788,430,449,19
1503960366,4/25/2016,15355,9.80000019073486,14,73,216,814,2013,277,323,46
1503960366,4/26/2016,13755,8.78999996185303,23,31,279,833,1970,245,274,29
1503960366,4/28/2016,13154,8.52999973297119,28,48,189,782,1898,366,393,27
1503960366,4/29/2016,11181,7.15000009536743,12,16,243,815,1837,341,354,13
1503960366,4/30/2016,14673,9.25,34,52,217,712,1947,404,425,21
1503960366,5/1/2016,10602,6.80999994277954,35,33,246,730,1820,369,396,27
1503960366,5/2/2016,14727,9.71000003814697,15,41,277,798,2004,277,309,32
1503960366,5/3/2016,15103,9.65999984741211,24,50,254,816,1990,273,296,23
1503960366,5/5/2016,14070,8.89999961853027,24,45,250,857,1959,247,264,17
1503960366,5/6/2016,12159,8.02999973297119,6,24,289,754,1896,334,367,33
1503960366,5/7/2016,11992,7.71000003814697,46,37,175,833,1821,331,349,18
1503960366,5/8/2016,10060,6.57999992370605,8,44,203,574,1740,594,611,17
1503960366,5/9/2016,12022,7.71999979019165,11,46,206,835,1819,338,342,4
1503960366,5/10/2016,12207,7.76999998092651,31,46,214,746,1859,383,403,20
1503960366,5/11/2016,12770,8.13000011444092,23,36,251,669,1783,285,306,21
1644430081,4/29/2016,3176,2.30999994277954,0,0,120,1193,2498,119,127,8
1644430081,4/30/2016,18213,13.2399997711182,71,9,402,816,3846,124,142,18
1644430081,5/2/2016,3758,2.73000001907349,7,1,148,682,2580,796,961,165
1644430081,5/8/2016,6724,4.8899998664856,0,0,295,991,2987,137,154,17
1844505072,4/15/2016,3844,2.53999996185303,0,0,176,527,1725,644,961,317
1844505072,4/30/2016,4014,2.67000007629395,0,0,184,218,1763,722,961,239
1844505072,5/1/2016,2573,1.70000004768372,7,0,75,585,1541,590,961,371
1927972279,4/12/2016,678,0.469999998807907,0,0,55,734,2220,750,775,25
1927972279,4/13/2016,356,0.25,0,0,32,986,2151,398,422,24
1927972279,4/15/2016,980,0.680000007152557,0,0,51,941,2221,475,499,24
1927972279,4/26/2016,3761,2.59999990463257,0,0,192,1058,2638,296,315,19
1927972279,4/28/2016,1675,1.1599999666214,0,0,95,1167,2351,166,178,12
2026352035,4/12/2016,4414,2.74000000953674,8,3,181,706,1459,503,546,43
2026352035,4/13/2016,4993,3.09999990463257,0,0,238,663,1521,531,565,34
2026352035,4/14/2016,3335,2.0699999332428,0,0,197,653,1431,545,568,23
2026352035,4/15/2016,3821,2.36999988555908,0,0,188,687,1444,523,573,50
2026352035,4/16/2016,2547,1.58000004291534,0,0,150,728,1373,524,567,43
2026352035,4/17/2016,838,0.519999980926514,0,0,60,1053,1214,437,498,61
2026352035,4/19/2016,2424,1.5,0,0,141,785,1356,498,540,42
2026352035,4/20/2016,7222,4.48000001907349,0,0,327,623,1667,461,510,49
2026352035,4/21/2016,2467,1.52999997138977,0,0,153,749,1370,477,514,37
2026352035,4/22/2016,2915,1.80999994277954,0,0,162,712,1399,520,545,25
2026352035,4/23/2016,12357,7.71000003814697,0,0,432,458,1916,522,554,32
2026352035,4/24/2016,3490,2.16000008583069,0,0,164,704,1401,555,591,36
2026352035,4/25/2016,6017,3.73000001907349,0,0,260,821,1576,506,531,25
2026352035,4/27/2016,6088,3.76999998092651,0,0,286,586,1593,508,545,37
