Id,TotalCalories,TotalVeryActive,TotalSedentary,TotalFairlyActive,TotalLightlyActive
1503960366,56309,1200,26293,594,6818
1624580081,45984,269,38990,180,4758
1644430081,84339,287,34856,641,5354
1844505072,48778,4,37405,40,3579
1927972279,67357,41,40840,24,1196
2022484408,77809,1125,34490,600,7981
2026352035,47760,3,21372,8,7956
2320127002,53449,42,37823,80,6144
2347167796,36782,243,12369,370,4545
2873212765,59426,437,34013,190,9548
3372868164,38662,183,21551,82,6558
3977333714,45410,567,21226,1838,5243
4020332650,73960,161,38355,166,2385
4057192912,7895,3,4869,6,412
4319703577,63168,111,22810,382,7092
4388161847,95910,718,25937,631,7110
4445114986,67772,205,25727,54,6482
4558609924,63031,322,33902,425,8834
4702921684,91932,159,23759,807,7362
5553957443,58146,726,20719,403,6392
5577150313,100789,2620,22633,895,4438
6117666160,63312,44,22296,57,8074
6290855005,75389,80,34598,110,6596
6775888955,55426,286,33785,385,1044
6962181067,61443,707,20532,574,7620
7007744171,66144,807,27439,423,7299
7086361926,79557,1320,26364,786,4459
8053475328,91320,2640,35588,297,4680
8253242879,33972,390,24460,272,2221
8378563200,106534,1819,22200,318,4839
8583815059,84693,300,39284,688,4287
8792009665,56907,28,30754,117,2662
8877689391,106028,2048,34499,308,7276
